matchId,teamId,total_passes,total_shots,shots_on_target,fouls_committed,tackles,clearances,successful_events,successful_passes,eventId,total_events,pass_success_rate,shot_accuracy,possession_ratio,opponentId,goals_for,goals_against,home_away,team_name,result,result_label
2499719,1609,606,27,10,9,65,19,750,513,1032,642,0.8465,0.3704,0.9439,1631,4,3,home,Arsenal,Win,2
2499719,1631,230,7,4,12,82,21,370,166,736,249,0.7217,0.5714,0.9237,1609,3,4,away,Leicester City,Loss,0
2499720,1625,754,12,3,9,44,4,842,682,1053,775,0.9045,0.25,0.9729,1651,2,0,away,Manchester City,Win,2
2499720,1651,184,6,2,6,61,27,259,124,553,196,0.6739,0.3333,0.9388,1625,0,2,home,Brighton & Hove Albion,Loss,0
2499721,1610,516,15,5,18,49,6,622,454,877,549,0.8798,0.3333,0.9399,1646,2,3,away,Chelsea,Loss,0
2499721,1646,296,9,5,11,70,21,409,245,688,316,0.8277,0.5556,0.9367,1610,3,2,home,Burnley,Win,2
2499722,1628,370,11,3,7,58,7,527,291,745,388,0.7865,0.2727,0.9536,1673,0,3,home,Crystal Palace,Loss,0
2499722,1673,273,8,6,19,117,25,390,194,768,300,0.7106,0.75,0.91,1628,3,0,away,Huddersfield Town,Win,2
2499723,1623,482,8,3,13,85,16,599,406,890,503,0.8423,0.375,0.9583,1639,1,0,away,Everton,Win,2
2499723,1639,267,10,1,10,59,17,418,205,759,287,0.7678,0.1,0.9303,1623,0,1,home,Stoke City,Loss,0
2499724,1611,463,21,5,19,70,7,623,404,855,503,0.8726,0.2381,0.9205,1633,4,0,home,Manchester United,Win,2
2499724,1633,362,7,1,7,95,16,483,306,802,376,0.8453,0.1429,0.9628,1611,0,4,away,West Ham United,Loss,0
2499725,1613,228,5,3,8,86,21,354,160,597,241,0.7018,0.6,0.9461,1624,0,2,home,Newcastle United,Loss,0
2499725,1624,692,17,7,9,69,13,827,630,1153,718,0.9104,0.4118,0.9638,1613,2,0,away,Tottenham Hotspur,Win,2
2499726,1619,507,25,2,11,58,6,611,427,846,543,0.8422,0.08,0.9337,10531,0,0,home,Southampton,Draw,1
2499726,10531,330,4,0,13,67,24,426,278,747,347,0.8424,0.0,0.951,1619,0,0,away,Swansea City,Draw,1
2499727,1612,447,12,4,10,78,14,584,360,878,469,0.8054,0.3333,0.9531,1644,3,3,home,Liverpool,Draw,1
2499727,1644,377,8,4,13,75,21,491,290,864,398,0.7692,0.5,0.9472,1612,3,3,away,Watford,Draw,1
2499728,1627,235,16,6,15,73,13,345,166,655,266,0.7064,0.375,0.8835,1659,1,0,away,West Bromwich Albion,Win,2
2499728,1659,596,8,2,4,50,10,714,534,939,608,0.896,0.25,0.9803,1627,0,1,home,AFC Bournemouth,Loss,0
2499729,1644,347,17,6,15,74,10,456,270,794,379,0.7781,0.3529,0.9156,1659,2,0,away,Watford,Win,2
2499729,1659,418,7,2,7,57,15,492,332,728,432,0.7943,0.2857,0.9676,1644,0,2,home,AFC Bournemouth,Loss,0
